date_time,Unnamed: 0,ask,bid,ask_volume,bid_volume
2021-01-03 22:00:00.040,0,1.22411,1.22396,0.75,7.33
2021-01-03 22:00:00.144,1,1.2241,1.22395,0.75,7.33
2021-01-03 22:00:00.434,2,1.22411,1.22393,0.75,0.75
2021-01-03 22:00:00.738,3,1.2241,1.22393,0.37,0.75
2021-01-03 22:00:00.933,4,1.22409,1.22392,0.75,0.37
2021-01-03 22:00:01.034,5,1.22409,1.2239,0.75,0.75
2021-01-03 22:00:01.423,6,1.22409,1.22389,0.75,0.75
2021-01-03 22:00:01.753,7,1.22408,1.22388,0.75,1.12
2021-01-03 22:00:01.854,8,1.22407,1.22387,0.75,0.37
2021-01-03 22:00:03.424,9,1.22407,1.2239,0.75,0.75
2021-01-03 22:00:05.937,10,1.22393,1.22377,0.75,1.5
2021-01-03 22:00:06.038,11,1.22404,1.22395,7.5,0.37
2021-01-03 22:00:06.142,12,1.22407,1.22395,0.75,0.37
2021-01-03 22:00:07.566,13,1.22407,1.2239,0.75,0.75
2021-01-03 22:00:07.617,14,1.22395,1.22377,0.75,1.5
2021-01-03 22:00:07.718,15,1.22407,1.22395,0.75,0.37
2021-01-03 22:00:09.042,16,1.22407,1.2239,0.75,0.75
2021-01-03 22:00:09.142,17,1.22394,1.22373,0.75,0.75
2021-01-03 22:00:09.193,18,1.22397,1.22395,0.37,0.37
2021-01-03 22:00:09.243,19,1.22407,1.22395,0.75,0.37
2021-01-03 22:00:31.855,20,1.22408,1.22395,1.12,0.37
2021-01-03 22:00:32.760,21,1.22407,1.22395,0.75,0.37
2021-01-03 22:00:44.427,22,1.22396,1.22385,0.75,0.75
2021-01-03 22:00:44.528,23,1.22406,1.22395,0.75,1.12
2021-01-03 22:00:56.397,24,1.22396,1.22387,0.75,0.37
2021-01-03 22:00:56.447,25,1.22396,1.22385,0.75,0.75
2021-01-03 22:00:56.498,26,1.22397,1.22395,0.37,1.12
2021-01-03 22:00:56.549,27,1.22406,1.22395,0.75,1.12
2021-01-03 22:01:20.522,28,1.22396,1.22387,0.75,0.37
2021-01-03 22:01:20.572,29,1.22396,1.22385,0.75,6.73
2021-01-03 22:01:20.623,30,1.22406,1.22395,0.75,1.12
2021-01-03 22:01:23.137,31,1.22396,1.2239,0.75,5.98
2021-01-03 22:01:23.238,32,1.22397,1.22395,0.37,1.12
2021-01-03 22:01:23.289,33,1.22406,1.22395,0.75,1.12
2021-01-03 22:01:42.162,34,1.22407,1.22399,0.37,0.37
2021-01-03 22:01:42.213,35,1.22421,1.2242,9.02,0.75
2021-01-03 22:01:42.264,36,1.22426,1.2242,7.5,0.75
2021-01-03 22:01:42.465,37,1.22432,1.2242,0.75,0.75
2021-01-03 22:01:44.077,38,1.22427,1.22415,0.75,0.75
2021-01-03 22:01:59.407,39,1.22422,1.22415,0.75,0.75
2021-01-03 22:01:59.457,40,1.22416,1.22406,0.75,0.37
2021-01-03 22:01:59.508,41,1.22416,1.22396,0.75,0.37
2021-01-03 22:01:59.662,42,1.22416,1.22395,0.75,0.75
2021-01-03 22:02:25.218,43,1.22416,1.22396,0.75,0.37
2021-01-03 22:02:26.466,44,1.22416,1.22395,0.75,1.12
