Time (UTC),Open,High,Low,Close,Volume 
2020.12.30 22:00:00,1.22955,1.23092,1.22091,1.22141,164452.6337
2021.01.03 22:00:00,1.22396,1.23096,1.22296,1.22473,247868.262
2021.01.04 22:00:00,1.22463,1.23056,1.22432,1.22957,193572.1337
2021.01.05 22:00:00,1.22946,1.23494,1.22655,1.23239,270515.945
2021.01.06 22:00:00,1.23247,1.23443,1.2245,1.2271,194294.2315
2021.01.07 22:00:00,1.22713,1.22845,1.21929,1.22174,239793.1149
2021.01.10 22:00:00,1.22175,1.22284,1.21321,1.21496,199048.217
2021.01.11 22:00:00,1.21497,1.22097,1.21371,1.22062,155317.5961
2021.01.12 22:00:00,1.22064,1.22227,1.21399,1.21568,174070.862
2021.01.13 22:00:00,1.21568,1.21784,1.2111,1.2153,194068.261
2021.01.14 22:00:00,1.2153,1.21624,1.20747,1.20748,168388.538
2021.01.17 22:00:00,1.20838,1.20867,1.20535,1.20749,123648.0972
2021.01.18 22:00:00,1.20748,1.21448,1.20739,1.21284,173570.845
2021.01.19 22:00:00,1.21281,1.21581,1.20767,1.21044,172088.6675
2021.01.20 22:00:00,1.21044,1.2173,1.21032,1.2164,163963.5325
2021.01.21 22:00:00,1.21564,1.21894,1.21515,1.21667,142147.3301
2021.01.24 22:00:00,1.21688,1.21832,1.21158,1.21363,163322.5041
2021.01.25 22:00:00,1.21363,1.21758,1.21076,1.21597,147933.0936
2021.01.26 22:00:00,1.21598,1.21696,1.20585,1.21096,199305.8475
2021.01.27 22:00:00,1.21083,1.21424,1.20807,1.21201,200758.53
2021.01.28 22:00:00,1.21199,1.2156,1.20944,1.21298,194330.7
2021.01.31 22:00:00,1.21297,1.21363,1.2056,1.20594,169316.5594
2021.02.01 22:00:00,1.20594,1.20877,1.20115,1.20428,147600.08
2021.02.02 22:00:00,1.20423,1.205,1.2004,1.20351,120119.69
2021.02.03 22:00:00,1.20349,1.20427,1.19574,1.1962,121808.085
2021.02.04 22:00:00,1.19618,1.20498,1.19522,1.20481,125559.8848
2021.02.07 22:00:00,1.20375,1.2066,1.20196,1.20482,117625.978
2021.02.08 22:00:00,1.20479,1.21218,1.20469,1.21172,133697.04
2021.02.09 22:00:00,1.21168,1.2144,1.21088,1.21172,130601.925
2021.02.10 22:00:00,1.21172,1.21494,1.21134,1.21303,88250.5487
2021.02.11 22:00:00,1.21303,1.2135,1.20815,1.21177,83077.43
2021.02.14 22:00:00,1.21244,1.21451,1.21167,1.21274,68552.6184
2021.02.15 22:00:00,1.21269,1.21693,1.20949,1.21053,118869.935
2021.02.16 22:00:00,1.21047,1.2109,1.20232,1.20372,131488.335
2021.02.17 22:00:00,1.20333,1.20945,1.2033,1.20908,118387.975
2021.02.18 22:00:00,1.20908,1.21444,1.20823,1.21167,120562.365
2021.02.21 22:00:00,1.21151,1.21693,1.20911,1.21551,136092.545
2021.02.22 22:00:00,1.21551,1.21801,1.21353,1.21493,123596.545
2021.02.23 22:00:00,1.21493,1.21745,1.21092,1.21664,160048.55
2021.02.24 22:00:00,1.2163,1.22433,1.21559,1.2174,232552.36
2021.02.25 22:00:00,1.21718,1.21841,1.20621,1.20704,311728.3435
2021.02.28 22:00:00,1.20702,1.21011,1.20276,1.20488,158262.375
2021.03.01 22:00:00,1.20488,1.20943,1.19916,1.20898,163214.715
2021.03.02 22:00:00,1.20893,1.21132,1.20427,1.20627,181858.794
2021.03.03 22:00:00,1.20627,1.20666,1.19615,1.19692,214543.12
2021.03.04 22:00:00,1.19679,1.19777,1.18932,1.19128,247010.16
2021.03.07 22:00:00,1.19177,1.19321,1.18442,1.1846,188943.6475
2021.03.08 22:00:00,1.1846,1.19156,1.18355,1.19001,167830.41
2021.03.09 22:00:00,1.19001,1.19296,1.18688,1.19284,154286.4207
2021.03.10 22:00:00,1.19283,1.19899,1.19156,1.19844,153676.797
2021.03.11 22:00:00,1.19842,1.19884,1.19099,1.19476,154653.97
2021.03.14 21:00:00,1.19451,1.19674,1.1911,1.19286,124308.92
2021.03.15 21:00:00,1.19277,1.19518,1.18819,1.19017,128877.5865
2021.03.16 21:00:00,1.19016,1.19855,1.18861,1.19779,135521.255
2021.03.17 21:00:00,1.19774,1.19888,1.19061,1.19132,180125.6576
2021.03.18 21:00:00,1.19134,1.19371,1.18738,1.19031,138526.23
2021.03.21 21:00:00,1.18712,1.19468,1.18708,1.19323,117672.07
